
[2025-07-10 15:18:43.2681 Send: 5A E0 00 00 39 61
[2025-07-10 15:18:43.2711 MCU not connected
[2025-07-10 15:18:43.2882 recv packet: 5A E0 00 00 39 61
[2025-07-10 15:18:43.2882 MCU connected
[2025-07-10 15:18:44.1960 recv packet: 5A 60 00 F6 20 00 00 00 00 00 20 04 00 00 00 00 20 08 00 00 00 00 20 0C 00 00 00 00 20 10 00 00 00 00 20 14 00 00 00 00 20 18 00 00 00 00 20 1C 00 00 00 00 20 20 00 00 00 00 20 24 00 00 00 00 20 28 00 00 00 00 20 2C 00 00 00 00 20 30 00 00 00 00 20 34 00 00 00 00 20 38 00 00 00 00 20 3C 00 00 00 00 20 40 00 00 00 00 20 44 00 00 00 00 20 48 00 00 00 00 20 4C 00 00 00 00 20 50 00 00 00 00 20 54 00 00 00 00 20 58 00 00 00 00 20 5C 00 00 00 00 20 60 00 00 00 00 20 64 00 00 00 00 20 68 00 00 00 00 20 6C 00 00 00 00 20 70 00 00 00 00 20 74 00 00 00 00 20 78 00 00 00 00 20 7C 00 00 00 00 20 80 00 00 00 00 20 84 00 00 00 00 22 00 00 00 00 00 22 04 00 00 00 00 22 08 00 00 00 00 22 0C 00 00 00 00 22 10 00 00 00 00 22 14 00 00 00 00 22 18 00 00 00 00 26 58
[2025-07-10 15:18:44.1980 MCU report: addr=0x2000, value=0, status=OK
[2025-07-10 15:18:45.2291 recv packet: 5A 60 00 F6 20 00 00 00 00 00 20 04 00 00 00 00 20 08 00 00 00 00 20 0C 00 00 00 00 20 10 00 00 00 00 20 14 00 00 00 00 20 18 00 00 00 00 20 1C 00 00 00 00 20 20 00 00 00 00 20 24 00 00 00 00 20 28 00 00 00 00 20 2C 00 00 00 00 20 30 00 00 00 00 20 34 00 00 00 00 20 38 00 00 00 00 20 3C 00 00 00 00 20 40 00 00 00 00 20 44 00 00 00 00 20 48 00 00 00 00 20 4C 00 00 00 00 20 50 00 00 00 00 20 54 00 00 00 00 20 58 00 00 00 00 20 5C 00 00 00 00 20 60 00 00 00 00 20 64 00 00 00 00 20 68 00 00 00 00 20 6C 00 00 00 00 20 70 00 00 00 00 20 74 00 00 00 00 20 78 00 00 00 00 20 7C 00 00 00 00 20 80 00 00 00 00 20 84 00 00 00 00 22 00 00 00 00 00 22 04 00 00 00 00 22 08 00 00 00 00 22 0C 00 00 00 00 22 10 00 00 00 00 22 14 00 00 00 00 22 18 00 00 00 00 26 58
[2025-07-10 15:18:45.2310 MCU report: addr=0x2000, value=0, status=OK
[2025-07-10 15:18:45.2972 MCU report: addr=0x2004, value=0, status=OK
[2025-07-10 15:18:45.3286 MCU report: addr=0x2008, value=0, status=OK
[2025-07-10 15:18:45.3294 MCU report: addr=0x200C, value=0, status=OK
[2025-07-10 15:18:45.3730 MCU report: addr=0x2010, value=0, status=OK
[2025-07-10 15:18:45.3861 MCU report: addr=0x2014, value=0, status=OK
[2025-07-10 15:18:45.3871 MCU report: addr=0x2018, value=0, status=OK
[2025-07-10 15:18:45.3891 MCU report: addr=0x201C, value=0, status=OK
[2025-07-10 15:18:45.3911 MCU report: addr=0x2020, value=0, status=OK
[2025-07-10 15:18:45.3934 MCU report: addr=0x2024, value=0, status=OK
[2025-07-10 15:18:45.3944 MCU report: addr=0x2028, value=0, status=OK
[2025-07-10 15:18:45.3964 MCU report: addr=0x202C, value=0, status=OK
[2025-07-10 15:18:45.3980 MCU report: addr=0x2030, value=0, status=OK
[2025-07-10 15:18:45.4001 MCU report: addr=0x2034, value=0, status=OK
[2025-07-10 15:18:45.4011 MCU report: addr=0x2038, value=0, status=OK
[2025-07-10 15:18:45.4035 MCU report: addr=0x203C, value=0, status=OK
[2025-07-10 15:18:45.4045 MCU report: addr=0x2040, value=0, status=OK
[2025-07-10 15:18:45.4065 MCU report: addr=0x2044, value=0, status=OK
[2025-07-10 15:18:45.4075 MCU report: addr=0x2048, value=0, status=OK
[2025-07-10 15:18:45.4121 MCU report: addr=0x204C, value=0, status=OK
[2025-07-10 15:18:45.4142 MCU report: addr=0x2050, value=0, status=OK
[2025-07-10 15:18:45.4163 MCU report: addr=0x2054, value=0, status=OK
[2025-07-10 15:18:45.4174 MCU report: addr=0x2058, value=0, status=OK
[2025-07-10 15:18:45.4194 MCU report: addr=0x205C, value=0, status=OK
[2025-07-10 15:18:45.4199 MCU report: addr=0x2060, value=0, status=OK
[2025-07-10 15:18:45.4225 MCU report: addr=0x2064, value=0, status=OK
[2025-07-10 15:18:45.4251 MCU report: addr=0x2068, value=0, status=OK
[2025-07-10 15:18:45.4263 MCU report: addr=0x206C, value=0, status=OK
[2025-07-10 15:18:45.4291 MCU report: addr=0x2070, value=0, status=OK
[2025-07-10 15:18:45.4304 MCU report: addr=0x2074, value=0, status=OK
[2025-07-10 15:18:45.4315 MCU report: addr=0x2078, value=0, status=OK
[2025-07-10 15:18:45.4334 MCU report: addr=0x207C, value=0, status=OK
[2025-07-10 15:18:45.4347 MCU report: addr=0x2080, value=0, status=OK
[2025-07-10 15:18:45.4355 MCU report: addr=0x2084, value=0, status=OK
[2025-07-10 15:18:45.4374 MCU report: addr=0x2200, value=0, status=OK
[2025-07-10 15:18:45.4395 MCU report: addr=0x2204, value=0, status=OK
[2025-07-10 15:18:45.4404 MCU report: addr=0x2208, value=0, status=OK
[2025-07-10 15:18:45.4431 MCU report: addr=0x220C, value=0, status=OK
[2025-07-10 15:18:45.4441 MCU report: addr=0x2210, value=0, status=OK
[2025-07-10 15:18:45.4451 MCU report: addr=0x2214, value=0, status=OK
[2025-07-10 15:18:45.4471 MCU report: addr=0x2218, value=0, status=OK
[2025-07-10 15:18:45.4727 recv packet: 5A 60 00 96 22 1C 00 00 00 00 22 20 00 00 00 00 22 24 00 00 00 00 24 00 00 00 00 00 24 04 00 00 00 00 24 08 00 00 00 00 24 0C 00 00 00 00 24 10 00 00 00 00 24 14 00 00 00 00 24 18 00 00 00 00 24 1C 00 00 00 00 24 20 00 00 00 00 24 24 00 00 00 00 24 28 00 00 00 00 24 2C 00 00 00 00 24 30 00 00 00 00 24 34 00 00 00 00 24 38 00 00 00 00 24 3C 00 00 00 00 24 40 00 00 00 00 24 44 00 00 00 00 24 48 00 00 00 00 26 00 00 00 00 00 26 04 00 00 00 00 26 08 00 00 00 04 DB A4
[2025-07-10 15:18:45.4727 MCU report: addr=0x221C, value=0, status=OK
[2025-07-10 15:18:45.5034 MCU report: addr=0x2220, value=0, status=OK
[2025-07-10 15:18:45.5206 MCU report: addr=0x2224, value=0, status=OK
[2025-07-10 15:18:45.5371 MCU report: addr=0x2400, value=0, status=OK
[2025-07-10 15:18:45.5523 MCU report: addr=0x2404, value=0, status=OK
[2025-07-10 15:18:45.5557 MCU report: addr=0x2408, value=0, status=OK
[2025-07-10 15:18:45.5557 MCU report: addr=0x240C, value=0, status=OK
[2025-07-10 15:18:45.5576 MCU report: addr=0x2410, value=0, status=OK
[2025-07-10 15:18:45.5596 MCU report: addr=0x2414, value=0, status=OK
[2025-07-10 15:18:45.5607 MCU report: addr=0x2418, value=0, status=OK
[2025-07-10 15:18:45.5626 MCU report: addr=0x241C, value=0, status=OK
[2025-07-10 15:18:45.5637 MCU report: addr=0x2420, value=0, status=OK
[2025-07-10 15:18:45.5656 MCU report: addr=0x2424, value=0, status=OK
[2025-07-10 15:18:45.5667 MCU report: addr=0x2428, value=0, status=OK
[2025-07-10 15:18:45.5681 MCU report: addr=0x242C, value=0, status=OK
[2025-07-10 15:18:45.5701 MCU report: addr=0x2430, value=0, status=OK
[2025-07-10 15:18:45.5721 MCU report: addr=0x2434, value=0, status=OK
[2025-07-10 15:18:45.5731 MCU report: addr=0x2438, value=0, status=OK
[2025-07-10 15:18:45.5751 MCU report: addr=0x243C, value=0, status=OK
[2025-07-10 15:18:45.5763 MCU report: addr=0x2440, value=0, status=OK
[2025-07-10 15:18:45.5791 MCU report: addr=0x2444, value=0, status=OK
[2025-07-10 15:18:45.5804 MCU report: addr=0x2448, value=0, status=OK
[2025-07-10 15:18:45.5814 MCU report: addr=0x2600, value=0, status=OK
[2025-07-10 15:18:45.5824 MCU report: addr=0x2604, value=0, status=OK
[2025-07-10 15:18:45.5850 MCU report: addr=0x2608, value=4, status=OK
[2025-07-10 15:18:46.2640 recv packet: 5A 60 00 F6 20 00 00 00 00 00 20 04 00 00 00 00 20 08 00 00 00 00 20 0C 00 00 00 00 20 10 00 00 00 00 20 14 00 00 00 00 20 18 00 00 00 00 20 1C 00 00 00 00 20 20 00 00 00 00 20 24 00 00 00 00 20 28 00 00 00 00 20 2C 00 00 00 00 20 30 00 00 00 00 20 34 00 00 00 00 20 38 00 00 00 00 20 3C 00 00 00 00 20 40 00 00 00 00 20 44 00 00 00 00 20 48 00 00 00 00 20 4C 00 00 00 00 20 50 00 00 00 00 20 54 00 00 00 00 20 58 00 00 00 00 20 5C 00 00 00 00 20 60 00 00 00 00 20 64 00 00 00 00 20 68 00 00 00 00 20 6C 00 00 00 00 20 70 00 00 00 00 20 74 00 00 00 00 20 78 00 00 00 00 20 7C 00 00 00 00 20 80 00 00 00 00 20 84 00 00 00 00 22 00 00 00 00 00 22 04 00 00 00 00 22 08 00 00 00 00 22 0C 00 00 00 00 22 10 00 00 00 00 22 14 00 00 00 00 22 18 00 00 00 00 26 58
[2025-07-10 15:18:46.2670 MCU report: addr=0x2000, value=0, status=OK
[2025-07-10 15:18:46.3040 MCU report: addr=0x2004, value=0, status=OK
[2025-07-10 15:18:46.3655 MCU report: addr=0x2008, value=0, status=OK
[2025-07-10 15:18:46.3960 MCU report: addr=0x200C, value=0, status=OK
[2025-07-10 15:18:46.4199 MCU report: addr=0x2010, value=0, status=OK
[2025-07-10 15:18:46.4260 MCU report: addr=0x2014, value=0, status=OK
[2025-07-10 15:18:46.4260 MCU report: addr=0x2018, value=0, status=OK
[2025-07-10 15:18:46.4280 MCU report: addr=0x201C, value=0, status=OK
[2025-07-10 15:18:46.4290 MCU report: addr=0x2020, value=0, status=OK
[2025-07-10 15:18:46.4320 MCU report: addr=0x2024, value=0, status=OK
[2025-07-10 15:18:46.4330 MCU report: addr=0x2028, value=0, status=OK
[2025-07-10 15:18:46.4342 MCU report: addr=0x202C, value=0, status=OK
[2025-07-10 15:18:46.4363 MCU report: addr=0x2030, value=0, status=OK
[2025-07-10 15:18:46.4373 MCU report: addr=0x2034, value=0, status=OK
[2025-07-10 15:18:46.4393 MCU report: addr=0x2038, value=0, status=OK
[2025-07-10 15:18:46.4413 MCU report: addr=0x203C, value=0, status=OK
[2025-07-10 15:18:46.4423 MCU report: addr=0x2040, value=0, status=OK
[2025-07-10 15:18:46.4443 MCU report: addr=0x2044, value=0, status=OK
[2025-07-10 15:18:46.4453 MCU report: addr=0x2048, value=0, status=OK
[2025-07-10 15:18:46.4478 MCU report: addr=0x204C, value=0, status=OK
[2025-07-10 15:18:46.4488 MCU report: addr=0x2050, value=0, status=OK
[2025-07-10 15:18:46.4508 MCU report: addr=0x2054, value=0, status=OK
[2025-07-10 15:18:46.4513 MCU report: addr=0x2058, value=0, status=OK
[2025-07-10 15:18:46.4541 MCU report: addr=0x205C, value=0, status=OK
[2025-07-10 15:18:46.4551 MCU report: addr=0x2060, value=0, status=OK
[2025-07-10 15:18:46.4569 MCU report: addr=0x2064, value=0, status=OK
[2025-07-10 15:18:46.4579 MCU report: addr=0x2068, value=0, status=OK
[2025-07-10 15:18:46.4609 MCU report: addr=0x206C, value=0, status=OK
[2025-07-10 15:18:46.4619 MCU report: addr=0x2070, value=0, status=OK
[2025-07-10 15:18:46.4639 MCU report: addr=0x2074, value=0, status=OK
[2025-07-10 15:18:46.4649 MCU report: addr=0x2078, value=0, status=OK
[2025-07-10 15:18:46.4669 MCU report: addr=0x207C, value=0, status=OK
[2025-07-10 15:18:46.4679 MCU report: addr=0x2080, value=0, status=OK
[2025-07-10 15:18:46.4699 MCU report: addr=0x2084, value=0, status=OK
[2025-07-10 15:18:46.4709 MCU report: addr=0x2200, value=0, status=OK
[2025-07-10 15:18:46.4720 MCU report: addr=0x2204, value=0, status=OK
[2025-07-10 15:18:46.4740 MCU report: addr=0x2208, value=0, status=OK
[2025-07-10 15:18:46.4760 MCU report: addr=0x220C, value=0, status=OK
[2025-07-10 15:18:46.4772 MCU report: addr=0x2210, value=0, status=OK
[2025-07-10 15:18:46.4793 MCU report: addr=0x2214, value=0, status=OK
[2025-07-10 15:18:46.4800 MCU report: addr=0x2218, value=0, status=OK
[2025-07-10 15:18:46.4922 recv packet: 5A 60 00 96 22 1C 00 00 00 00 22 20 00 00 00 00 22 24 00 00 00 00 24 00 00 00 00 00 24 04 00 00 00 00 24 08 00 00 00 00 24 0C 00 00 00 00 24 10 00 00 00 00 24 14 00 00 00 00 24 18 00 00 00 00 24 1C 00 00 00 00 24 20 00 00 00 00 24 24 00 00 00 00 24 28 00 00 00 00 24 2C 00 00 00 00 24 30 00 00 00 00 24 34 00 00 00 00 24 38 00 00 00 00 24 3C 00 00 00 00 24 40 00 00 00 00 24 44 00 00 00 00 24 48 00 00 00 00 26 00 00 00 00 00 26 04 00 00 00 00 26 08 00 00 00 04 DB A4
[2025-07-10 15:18:46.4922 MCU report: addr=0x221C, value=0, status=OK
[2025-07-10 15:18:46.5073 MCU report: addr=0x2220, value=0, status=OK
[2025-07-10 15:18:46.5399 MCU report: addr=0x2224, value=0, status=OK
[2025-07-10 15:18:46.5564 MCU report: addr=0x2400, value=0, status=OK
[2025-07-10 15:18:46.5722 MCU report: addr=0x2404, value=0, status=OK
[2025-07-10 15:18:46.5722 MCU report: addr=0x2408, value=0, status=OK
[2025-07-10 15:18:46.5762 MCU report: addr=0x240C, value=0, status=OK
[2025-07-10 15:18:46.5772 MCU report: addr=0x2410, value=0, status=OK
[2025-07-10 15:18:46.5772 MCU report: addr=0x2414, value=0, status=OK
[2025-07-10 15:18:46.5793 MCU report: addr=0x2418, value=0, status=OK
[2025-07-10 15:18:46.5813 MCU report: addr=0x241C, value=0, status=OK
[2025-07-10 15:18:46.5823 MCU report: addr=0x2420, value=0, status=OK
[2025-07-10 15:18:46.5839 MCU report: addr=0x2424, value=0, status=OK
[2025-07-10 15:18:46.5859 MCU report: addr=0x2428, value=0, status=OK
[2025-07-10 15:18:46.5869 MCU report: addr=0x242C, value=0, status=OK
[2025-07-10 15:18:46.5889 MCU report: addr=0x2430, value=0, status=OK
[2025-07-10 15:18:46.5899 MCU report: addr=0x2434, value=0, status=OK
[2025-07-10 15:18:46.5924 MCU report: addr=0x2438, value=0, status=OK
[2025-07-10 15:18:46.5944 MCU report: addr=0x243C, value=0, status=OK
[2025-07-10 15:18:46.5956 MCU report: addr=0x2440, value=0, status=OK
[2025-07-10 15:18:46.5975 MCU report: addr=0x2444, value=0, status=OK
[2025-07-10 15:18:46.5986 MCU report: addr=0x2448, value=0, status=OK
[2025-07-10 15:18:46.6018 MCU report: addr=0x2600, value=0, status=OK
[2025-07-10 15:18:46.6033 MCU report: addr=0x2604, value=0, status=OK
[2025-07-10 15:18:46.6043 MCU report: addr=0x2608, value=4, status=OK
[2025-07-10 15:18:47.2981 recv packet: 5A 60 00 F6 20 00 00 00 00 00 20 04 00 00 00 00 20 08 00 00 00 00 20 0C 00 00 00 00 20 10 00 00 00 00 20 14 00 00 00 00 20 18 00 00 00 00 20 1C 00 00 00 00 20 20 00 00 00 00 20 24 00 00 00 00 20 28 00 00 00 00 20 2C 00 00 00 00 20 30 00 00 00 00 20 34 00 00 00 00 20 38 00 00 00 00 20 3C 00 00 00 00 20 40 00 00 00 00 20 44 00 00 00 00 20 48 00 00 00 00 20 4C 00 00 00 00 20 50 00 00 00 00 20 54 00 00 00 00 20 58 00 00 00 00 20 5C 00 00 00 00 20 60 00 00 00 00 20 64 00 00 00 00 20 68 00 00 00 00 20 6C 00 00 00 00 20 70 00 00 00 00 20 74 00 00 00 00 20 78 00 00 00 00 20 7C 00 00 00 00 20 80 00 00 00 00 20 84 00 00 00 00 22 00 00 00 00 00 22 04 00 00 00 00 22 08 00 00 00 00 22 0C 00 00 00 00 22 10 00 00 00 00 22 14 00 00 00 00 22 18 00 00 00 00 26 58
[2025-07-10 15:18:47.2997 MCU report: addr=0x2000, value=0, status=OK
[2025-07-10 15:18:47.3634 MCU report: addr=0x2004, value=0, status=OK
[2025-07-10 15:18:47.4037 MCU report: addr=0x2008, value=0, status=OK
[2025-07-10 15:18:47.4261 MCU report: addr=0x200C, value=0, status=OK
[2025-07-10 15:18:47.4505 MCU report: addr=0x2010, value=0, status=OK
[2025-07-10 15:18:47.4565 MCU report: addr=0x2014, value=0, status=OK
[2025-07-10 15:18:47.4570 MCU report: addr=0x2018, value=0, status=OK
[2025-07-10 15:18:47.4602 MCU report: addr=0x201C, value=0, status=OK
[2025-07-10 15:18:47.4612 MCU report: addr=0x2020, value=0, status=OK
[2025-07-10 15:18:47.4635 MCU report: addr=0x2024, value=0, status=OK
[2025-07-10 15:18:47.4646 MCU report: addr=0x2028, value=0, status=OK
[2025-07-10 15:18:47.4666 MCU report: addr=0x202C, value=0, status=OK
[2025-07-10 15:18:47.4676 MCU report: addr=0x2030, value=0, status=OK
[2025-07-10 15:18:47.4686 MCU report: addr=0x2034, value=0, status=OK
[2025-07-10 15:18:47.4686 MCU report: addr=0x2038, value=0, status=OK
[2025-07-10 15:18:47.4706 MCU report: addr=0x203C, value=0, status=OK
[2025-07-10 15:18:47.4716 MCU report: addr=0x2040, value=0, status=OK
[2025-07-10 15:18:47.4736 MCU report: addr=0x2044, value=0, status=OK
[2025-07-10 15:18:47.4746 MCU report: addr=0x2048, value=0, status=OK
[2025-07-10 15:18:47.4766 MCU report: addr=0x204C, value=0, status=OK
[2025-07-10 15:18:47.4776 MCU report: addr=0x2050, value=0, status=OK
[2025-07-10 15:18:47.4796 MCU report: addr=0x2054, value=0, status=OK
[2025-07-10 15:18:47.4806 MCU report: addr=0x2058, value=0, status=OK
[2025-07-10 15:18:47.4816 MCU report: addr=0x205C, value=0, status=OK
[2025-07-10 15:18:47.4836 MCU report: addr=0x2060, value=0, status=OK
[2025-07-10 15:18:47.4836 MCU report: addr=0x2064, value=0, status=OK
[2025-07-10 15:18:47.4856 MCU report: addr=0x2068, value=0, status=OK
[2025-07-10 15:18:47.4866 MCU report: addr=0x206C, value=0, status=OK
[2025-07-10 15:18:47.4886 MCU report: addr=0x2070, value=0, status=OK
[2025-07-10 15:18:47.4896 MCU report: addr=0x2074, value=0, status=OK
[2025-07-10 15:18:47.4906 MCU report: addr=0x2078, value=0, status=OK
[2025-07-10 15:18:47.4923 MCU report: addr=0x207C, value=0, status=OK
[2025-07-10 15:18:47.4941 MCU report: addr=0x2080, value=0, status=OK
[2025-07-10 15:18:47.4961 MCU report: addr=0x2084, value=0, status=OK
[2025-07-10 15:18:47.4971 MCU report: addr=0x2200, value=0, status=OK
[2025-07-10 15:18:47.4991 MCU report: addr=0x2204, value=0, status=OK
[2025-07-10 15:18:47.5001 MCU report: addr=0x2208, value=0, status=OK
[2025-07-10 15:18:47.5011 MCU report: addr=0x220C, value=0, status=OK
[2025-07-10 15:18:47.5031 MCU report: addr=0x2210, value=0, status=OK
[2025-07-10 15:18:47.5041 MCU report: addr=0x2214, value=0, status=OK
[2025-07-10 15:18:47.5061 MCU report: addr=0x2218, value=0, status=OK
[2025-07-10 15:18:47.5243 recv packet: 5A 60 00 96 22 1C 00 00 00 00 22 20 00 00 00 00 22 24 00 00 00 00 24 00 00 00 00 00 24 04 00 00 00 00 24 08 00 00 00 00 24 0C 00 00 00 00 24 10 00 00 00 00 24 14 00 00 00 00 24 18 00 00 00 00 24 1C 00 00 00 00 24 20 00 00 00 00 24 24 00 00 00 00 24 28 00 00 00 00 24 2C 00 00 00 00 24 30 00 00 00 00 24 34 00 00 00 00 24 38 00 00 00 00 24 3C 00 00 00 00 24 40 00 00 00 00 24 44 00 00 00 00 24 48 00 00 00 00 26 00 00 00 00 00 26 04 00 00 00 00 26 08 00 00 00 04 DB A4
[2025-07-10 15:18:47.5243 MCU report: addr=0x221C, value=0, status=OK
[2025-07-10 15:18:47.5576 MCU report: addr=0x2220, value=0, status=OK
[2025-07-10 15:18:47.5795 MCU report: addr=0x2224, value=0, status=OK
[2025-07-10 15:18:47.5926 MCU report: addr=0x2400, value=0, status=OK
[2025-07-10 15:18:47.6083 MCU report: addr=0x2404, value=0, status=OK
[2025-07-10 15:18:47.6083 MCU report: addr=0x2408, value=0, status=OK
[2025-07-10 15:18:47.6123 MCU report: addr=0x240C, value=0, status=OK
[2025-07-10 15:18:47.6143 MCU report: addr=0x2410, value=0, status=OK
